ID_WATER_P,WP_OLDNAME,PLATE_ID,EASTINGX,NORTHINGY,DISTRICT_N,TA_NAME,VILLAGE_SI,WATER_SOUR,PUMP_TYPE,CONDITION,CONSTRUCTI,FUNDS,SERVICES
308_02_181,,,799771.00000,8233170.00000,Mulanje,Laston Njema TA,Makokola,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_182,,,799771.00000,8233170.00000,Mulanje,Laston Njema TA,Makokola,mechanic borehole,Afridev,functional,2001,OXFAM,CDC
308_02_183,,,799932.00000,8233618.00000,Mulanje,Laston Njema TA,Pangani,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_184,,,799719.00000,8233598.00000,Mulanje,Laston Njema TA,Pangani,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_176,,,797000.00000,8235630.00000,Mulanje,Laston Njema TA,Malunda,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_162,,,797685.00000,8231480.00000,Mulanje,Laston Njema TA,M'motola,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_156,,,801374.00000,8227014.00000,Mulanje,Laston Njema TA,Kometi,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_157,,,801261.00000,8226203.00000,Mulanje,Laston Njema TA,Kometi,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_158,,,798725.00000,8227121.00000,Mulanje,Laston Njema TA,Mataya Vh Ndala,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_159,,,799488.00000,8226607.00000,Mulanje,Laston Njema TA,Mataya Vh Ndala,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_171,,,797737.00000,8233091.00000,Mulanje,Laston Njema TA,Mkhumba,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_161,,,797816.00000,8231821.00000,Mulanje,Laston Njema TA,M'motola,mechanic borehole,Afridev,functional,2002,OXFAM,Concern Universal
308_02_154,,,799492.00000,8226598.00000,Mulanje,Laston Njema TA,Monda (A),gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_163,,,800941.00000,8229458.00000,Mulanje,Laston Njema TA,Ndunde,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_164,,,801286.00000,8229228.00000,Mulanje,Laston Njema TA,Ndunde,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_165,,,801388.00000,8229255.00000,Mulanje,Laston Njema TA,Chimwalila School,mechanic borehole,Afridev,functional,2002,MASAF,WDC
308_02_166,,,801398.00000,8228744.00000,Mulanje,Laston Njema TA,Ndunde,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_167,,,801398.00000,8228744.00000,Mulanje,Laston Njema TA,Kometi,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_168,,,797584.00000,8231943.00000,Mulanje,Laston Njema TA,Mkhumba,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_160,,,797895.00000,8231945.00000,Mulanje,Laston Njema TA,M'motola,gravity fed standpipe,no pump,not functional,1978,Government,Government
308_02_236,,,788438.00000,8224530.00000,Mulanje,Laston Njema TA,Chimbira,mechanic borehole,Afridev,functional,2000,MASAF,unknown
308_01_915,,,765494.00000,8231505.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_816,,,766330.00000,8222945.00000,Mulanje,Mabuka TA,Tambala,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_01_817,MMJ22/98,,766149.00000,8222089.00000,Mulanje,Mabuka TA,Tambala,mechanic borehole,Afridev,functional,1998,MASAF,Mozagua
308_01_818,,,766085.00000,8222042.00000,Mulanje,Mabuka TA,Tambala,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_01_819,191,,766112.00000,8223074.00000,Mulanje,Mabuka TA,Tambala,mechanic borehole,Afridev,functional,2000,OXFAM,CSC
308_01_820,,,766235.00000,8223336.00000,Mulanje,Mabuka TA,Tambala,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_01_821,,,765832.00000,8223479.00000,Mulanje,Mabuka TA,Tambala,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_01_822,MMJ/20/98,,765980.00000,8223532.00000,Mulanje,Mabuka TA,Tambala,mechanic borehole,Afridev,not functional,1998,MASAF,Mozagua
308_01_823,,,766296.00000,8224013.00000,Mulanje,Mabuka TA,Tambala,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_01_825,,,764410.00000,8223359.00000,Mulanje,Mabuka TA,Lowa,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_01_814,,,766455.00000,8222648.00000,Mulanje,Mabuka TA,Tambala,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_01_829,,,764856.00000,8222925.00000,Mulanje,Mabuka TA,Lowa,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_01_778,,,768988.00000,8222204.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,functional,1983,Government,Government
308_01_779,,,769143.00000,8222464.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,functional,1983,Government,Government
308_01_780,,,771712.00000,8220364.00000,Mulanje,Mabuka TA,Mjojo,gravity fed standpipe,no pump,not functional,1981,Government,Government
308_01_781,082,,771742.00000,8220351.00000,Mulanje,Mabuka TA,Mjojo,mechanic borehole,Afridev,not functional,2000,MASAF,unknown
308_01_782,,,771901.00000,8219544.00000,Mulanje,Mabuka TA,Mukhala,gravity fed standpipe,no pump,not functional,1981,Government,Government
308_01_785,,,771293.00000,8220251.00000,Mulanje,Mabuka TA,Mjojo,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_786,,,770310.00000,8219997.00000,Mulanje,Mabuka TA,Natchwachwa,gravity fed standpipe,no pump,not functional,1981,Government,Government
308_01_787,,,769937.00000,8219922.00000,Mulanje,Mabuka TA,Natchwachwa,mechanic borehole,Afridev,functional,2000,MASAF,unknown
308_01_815,,,766484.00000,8222905.00000,Mulanje,Mabuka TA,Tambala,mechanic borehole,Afridev,functional,1999,Government,Drill Tech
308_01_789,,,769916.00000,8220216.00000,Mulanje,Mabuka TA,Natchwachwa,gravity fed standpipe,no pump,not functional,1981,Government,Government
308_01_905,,,765903.00000,8232566.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_906,,,765849.00000,8232555.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_907,,,765823.00000,8232552.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_908,,,765768.00000,8232546.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_909,,,765712.00000,8232539.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_910,,,765850.00000,8232636.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_912,,,765578.00000,8231511.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_914,,,765528.00000,8231495.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_775,,,768115.00000,8221487.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,functional,1983,Government,Government
308_01_707,,,769883.00000,8224760.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_701,,,769288.00000,8225581.00000,Mulanje,Mabuka TA,Lomo,gravity fed standpipe,no pump,functional,1984,Government,Government
308_01_702,,,768978.00000,8225356.00000,Mulanje,Mabuka TA,Lomo,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_703,,,769169.00000,8225247.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_704,,,768850.00000,8224741.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_720,,,770808.00000,8224995.00000,Mulanje,Mabuka TA,Lauderdale,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_706,,,769750.00000,8224780.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,2001,Private,Private
308_01_708,,,769744.00000,8224496.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_709,,,769877.00000,8224265.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_710,,,770120.00000,8224345.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1997,unknown,Private
308_01_711,,,770135.00000,8224300.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1998,Private,Private
308_01_712,,,770143.00000,8224263.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1998,Private,Private
308_01_713,,,770544.00000,8224748.00000,Mulanje,Mabuka TA,Lauderdale School,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_714,,,770684.00000,8224635.00000,Mulanje,Mabuka TA,Lauderdale School,mechanic borehole,Afridev,functional,1998,MASAF,Mozagua
308_01_715,,,770346.00000,8224359.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_716,,,770189.00000,8224070.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,2002,Private,Private
308_01_718,,,770017.00000,8223672.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_777,KAW 0021,,768561.00000,8222256.00000,Mulanje,Mabuka TA,Sazola,mechanic borehole,Afridev,functional,1999,MASAF,Other
308_01_705,,,769357.00000,8225083.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_721,,,770672.00000,8224228.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_763,,,767697.00000,8222287.00000,Mulanje,Mabuka TA,Chisinkha,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_750,,,766761.00000,8224038.00000,Mulanje,Mabuka TA,Mateleka (Lomo),mechanic borehole,Afridev,functional,2001,MASAF,Water drilling contractor
308_01_751,,,766732.00000,8224033.00000,Mulanje,Mabuka TA,Mateleka (Lomo),gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_752,,,766931.00000,8223592.00000,Mulanje,Mabuka TA,Mateleka (Lomo),gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_753,,,766817.00000,8223606.00000,Mulanje,Mabuka TA,Mateleka (Lomo),mechanic borehole,Afridev,functional,2001,MASAF,Water drilling contractor
308_01_754,,,767739.00000,8223255.00000,Mulanje,Mabuka TA,Chisinkha,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_755,,,767596.00000,8223540.00000,Mulanje,Mabuka TA,Chisinkha,mechanic borehole,Afridev,functional,1999,Government,GITEC
308_01_756,,,767229.00000,8222885.00000,Mulanje,Mabuka TA,Chisinkha,mechanic borehole,Afridev,functional,1999,Government,GITEC
308_01_757,,,767307.00000,8222784.00000,Mulanje,Mabuka TA,Chisinkha,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_758,,,767277.00000,8222235.00000,Mulanje,Mabuka TA,Chisinkha,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_759,SDC/03/05/56,,767543.00000,8221832.00000,Mulanje,Mabuka TA,Chisinkha,mechanic borehole,Afridev,functional,2002,unknown,SCANDRIL
308_01_760,,,767485.00000,8221873.00000,Mulanje,Mabuka TA,Chisinkha,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_719,,,769569.00000,8223279.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_747,,,768821.00000,8223846.00000,Mulanje,Mabuka TA,Lijanga,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_764,,,767614.00000,8222577.00000,Mulanje,Mabuka TA,Chisinkha,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_765,,,767835.00000,8222908.00000,Mulanje,Mabuka TA,Chisinkha,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_766,,,768142.00000,8223148.00000,Mulanje,Mabuka TA,Chisinkha,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_767,,,770045.00000,8223234.00000,Mulanje,Mabuka TA,Sazola,mechanic borehole,Afridev,functional,1997,MASAF,unknown
308_01_768,,,769890.00000,8222887.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_769,,,769543.00000,8222183.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,functional,1983,Government,Government
308_01_770,MMJ/23/98,,769571.00000,8222015.00000,Mulanje,Mabuka TA,Sazola,mechanic borehole,Afridev,functional,1998,MASAF,Mozagua
308_01_771,,,769159.00000,8221540.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,not functional,1983,Government,Government
308_01_772,,,768689.00000,8221405.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,functional,1983,Government,Government
308_01_773,,,768354.00000,8221324.00000,Mulanje,Mabuka TA,Sazola,mechanic borehole,Afridev,not functional,1999,Government,unknown
308_01_761,,,767429.00000,8221683.00000,Mulanje,Mabuka TA,Chisinkha,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_736,MMJ/22/98,,769868.00000,8221387.00000,Mulanje,Mabuka TA,Khanala,mechanic borehole,Afridev,not functional,1998,MASAF,Mozagua
308_01_723,,,770605.00000,8224101.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_724,,,770634.00000,8223603.00000,Mulanje,Mabuka TA,Mikundi,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_725,,,771106.00000,8223366.00000,Mulanje,Mabuka TA,Mikundi,mechanic borehole,Afridev,functional,2001,MASAF,Water drilling contractor
308_01_726,,,771196.00000,8223310.00000,Mulanje,Mabuka TA,Mikundi,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_727,,,771738.00000,8223319.00000,Mulanje,Mabuka TA,Mikundi,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_728,,,772382.00000,8223163.00000,Mulanje,Mabuka TA,Mikundi,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_729,,,771010.00000,8223035.00000,Mulanje,Mabuka TA,Mikundi,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_730,,,770792.00000,8222257.00000,Mulanje,Mabuka TA,Namazoma,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_731,,,770612.00000,8221706.00000,Mulanje,Mabuka TA,Namazoma,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_732,,,770554.00000,8221236.00000,Mulanje,Mabuka TA,Namazoma,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_733,,,770272.00000,8221990.00000,Mulanje,Mabuka TA,Khanala,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_749,,,769362.00000,8223909.00000,Mulanje,Mabuka TA,Lijanga,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_735,,,770063.00000,8221569.00000,Mulanje,Mabuka TA,Khanala,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_748,,,769044.00000,8224168.00000,Mulanje,Mabuka TA,Chipoka,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_737,,,769933.00000,8221039.00000,Mulanje,Mabuka TA,Namazoma,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_738,GA/SD/LI/156,,769994.00000,8221008.00000,Mulanje,Mabuka TA,Namazoma,mechanic borehole,Afridev,functional,1999,MASAF,Water Boring
308_01_739,,,770102.00000,8220857.00000,Mulanje,Mabuka TA,Namazoma,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_74,PSC/2/032,,768032.00000,8221397.00000,Mulanje,Mabuka TA,Sazola,mechanic borehole,Afridev,functional,2001,OXFAM,Other
308_01_740,,,769570.00000,8221160.00000,Mulanje,Mabuka TA,Namazoma,gravity fed standpipe,no pump,not functional,1982,Government,Government
308_01_741,,,768841.00000,8220961.00000,Mulanje,Mabuka TA,Namazoma,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_742,,,769078.00000,8220436.00000,Mulanje,Mabuka TA,Namazoma,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_744,,,769014.00000,8223239.00000,Mulanje,Mabuka TA,Lijanga,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_745,,,768671.00000,8222900.00000,Mulanje,Mabuka TA,Lijanga,mechanic borehole,Afridev,functional,2002,unknown,Water Boring
308_01_746,,,768679.00000,8222906.00000,Mulanje,Mabuka TA,Lijanga,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_776,,,768457.00000,8222138.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,functional,1983,Government,Government
308_01_734,,,769956.00000,8221692.00000,Mulanje,Mabuka TA,Khanala,mechanic borehole,Afridev,functional,1998,MASAF,Mozagua
308_01_212,,,778836.00000,8224153.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_201,,,777693.00000,8220401.00000,Mulanje,Mabuka TA,Ng'omba,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_202,,,777977.00000,8220301.00000,Mulanje,Mabuka TA,Ng'omba,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_203,,,778208.00000,8220314.00000,Mulanje,Mabuka TA,Ng'omba,gravity fed standpipe,no pump,not functional,1981,Government,Government
308_01_207,,,778247.00000,8223205.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_208,,,778291.00000,8222946.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_210,,,778434.00000,8223460.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2002,Government,Local artisans
308_01_213,,,779090.00000,8224403.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_214,,,779276.00000,8224459.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1998,Government,Local artisans
308_01_215,,,779207.00000,8224485.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1998,Government,Local artisans
308_01_216,,,779157.00000,8224438.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2002,Government,Local artisans
308_01_217,,,779461.00000,8224584.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2000,Government,Local artisans
308_01_218,,,779498.00000,8224780.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1999,Government,Local artisans
308_01_219,,,779519.00000,8224850.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2001,Government,Local artisans
308_01_220,,,779390.00000,8224930.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2002,Government,Local artisans
308_01_221,,,779349.00000,8224884.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,not functional,1998,Government,Local artisans
308_01_222,,,779322.00000,8224973.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2001,Government,Local artisans
308_01_223,,,779644.00000,8224858.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2002,Government,Local artisans
308_01_209,,,778437.00000,8223386.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1993,Government,Local artisans
308_01_014,,,782526.00000,8225062.00000,Mulanje,Mabuka TA,Mulima,shallow well with hand pump,Afridev,not functional,9999,GTZ,Government
308_01_013,CDC/02/112,,783388.00000,8225030.00000,Mulanje,Mabuka TA,Mulima,mechanic borehole,Afridev,functional,2002,MASAF,unknown
308_01_016,SD 01/198/29,,784476.00000,8223341.00000,Mulanje,Mabuka TA,Nkuta,mechanic borehole,Afridev,functional,2000,Government,Government
308_01_108,CDC/2/02/104,,767780.00000,8220955.00000,Mulanje,Mabuka TA,Sazola,mechanic borehole,Aquadev,functional,2002,MASAF,CDC
308_01_109,,,767817.00000,8220999.00000,Mulanje,Mabuka TA,Sazola,gravity fed standpipe,no pump,functional,1982,Government,Government
308_01_226,,,779543.00000,8225222.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1998,Government,Local artisans
308_01_224,,,779618.00000,8225074.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_913,,,765567.00000,8231497.00000,Mulanje,Mabuka TA,Chete,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_406,,,777053.00000,8224778.00000,Mulanje,Mabuka TA,Chanunkha School,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_401,,,775181.00000,8223268.00000,Mulanje,Mabuka TA,Sazikani,shallow well with hand pump,Afridev,not functional,2001,OXFAM,Government
308_01_402,SDC/03/10/61,,773811.00000,8221549.00000,Mulanje,Mabuka TA,Masito,mechanic borehole,Afridev,functional,2002,Government,Government
308_01_403,,,776449.00000,8223976.00000,Mulanje,Mabuka TA,Nande,gravity fed standpipe,no pump,functional,1999,Private,Private
308_01_405,,,776890.00000,8224697.00000,Mulanje,Mabuka TA,Nande,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_407,,,777751.00000,8225639.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_408,,,777897.00000,8226037.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_409,,,778331.00000,8226368.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_410,,,777691.00000,8225256.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_411,,,777751.00000,8224841.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_412,,,777913.00000,8224498.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,1997,Private,Private
308_01_413,,,777759.00000,8224467.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_414,,,777565.00000,8224605.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,2002,Private,Private
308_01_415,,,777359.00000,8224310.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_416,,,777310.00000,8224141.00000,Mulanje,Mabuka TA,Nessa,gravity fed standpipe,no pump,functional,2000,Private,Private
308_01_404,,,776648.00000,8224338.00000,Mulanje,Mabuka TA,Nande,gravity fed standpipe,no pump,functional,1989,Private,Private
308_01_267,,,780763.00000,8222692.00000,Mulanje,Mabuka TA,Kashoni,gravity fed standpipe,no pump,not functional,1981,Government,Government
308_01_254,,,779634.00000,8224589.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2000,Government,Local artisans
308_01_255,,,779941.00000,8224700.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_256,,,780020.00000,8224843.00000,Mulanje,Mabuka TA,Kabichi Church,gravity fed standpipe,no pump,functional,1997,Government,unknown
308_01_257,,,780125.00000,8225019.00000,Mulanje,Mabuka TA,Ngwendema,gravity fed standpipe,no pump,functional,2001,Government,Local artisans
308_01_258,,,780156.00000,8225161.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2001,Government,unknown
308_01_259,,,780246.00000,8224942.00000,Mulanje,Mabuka TA,Ngwendema,gravity fed standpipe,no pump,functional,1998,Government,unknown
308_01_260,,,779964.00000,8224832.00000,Mulanje,Mabuka TA,Kabichi School,gravity fed standpipe,no pump,functional,1997,Government,unknown
308_01_261,,,780309.00000,8224689.00000,Mulanje,Mabuka TA,Khanyizira,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_262,,,781127.00000,8224974.00000,Mulanje,Mabuka TA,Khanyizira,shallow well with hand pump,Afridev,functional,2001,OXFAM,Government
308_01_263,CD/201,,781265.00000,8223228.00000,Mulanje,Mabuka TA,Khanyizira,mechanic borehole,Afridev,not functional,2000,Government,Government
308_01_264,,,781500.00000,8223333.00000,Mulanje,Mabuka TA,Kashoni,shallow well with hand pump,Afridev,functional,2001,OXFAM,Government
308_01_279,,,779221.00000,8223233.00000,Mulanje,Mabuka TA,Naluwade,gravity fed standpipe,no pump,functional,2002,Government,Local artisans
308_01_266,SD/01/201,,780688.00000,8222684.00000,Mulanje,Mabuka TA,Kashon,mechanic borehole,Afridev,functional,2002,unknown,unknown
308_01_251,,,779683.00000,8224769.00000,Mulanje,Mabuka TA,Bondo H/Centre,gravity fed standpipe,no pump,functional,1996,Government,Government
308_01_268,,,780294.00000,8222538.00000,Mulanje,Mabuka TA,Kashoni,gravity fed standpipe,no pump,not functional,1981,Government,Government
308_01_269,,,779435.00000,8223161.00000,Mulanje,Mabuka TA,Naluwade,gravity fed standpipe,no pump,functional,2000,Government,Local artisans
308_01_270,,,779656.00000,8222788.00000,Mulanje,Mabuka TA,Naluwade School,gravity fed standpipe,no pump,functional,2002,Government,Local artisans
308_01_271,,,779431.00000,8223271.00000,Mulanje,Mabuka TA,Naluwade,gravity fed standpipe,no pump,functional,1999,Government,Local artisans
308_01_272,,,779253.00000,8222563.00000,Mulanje,Mabuka TA,Naluwade,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_273,,,779441.00000,8222242.00000,Mulanje,Mabuka TA,Naluwade,gravity fed standpipe,no pump,functional,2000,Government,Local artisans
308_01_274,,,779521.00000,8222234.00000,Mulanje,Mabuka TA,Naluwade,gravity fed standpipe,no pump,functional,2000,Government,Local artisans
308_01_275,,,779467.00000,8222140.00000,Mulanje,Mabuka TA,Naluwade,gravity fed standpipe,no pump,functional,2002,Government,Local artisans
308_01_276,,,779288.00000,8222379.00000,Mulanje,Mabuka TA,Naluwade,gravity fed standpipe,no pump,functional,2000,Government,Local artisans
308_01_277,,,779255.00000,8223352.00000,Mulanje,Mabuka TA,Naluwade,gravity fed standpipe,no pump,functional,1999,Government,Local artisans
308_01_265,,,781206.00000,8223205.00000,Mulanje,Mabuka TA,Kashoni,gravity fed standpipe,no pump,not functional,1981,Government,Government
308_01_239,SD/022/202,,779971.00000,8227058.00000,Mulanje,Mabuka TA,Unknown,mechanic borehole,Afridev,functional,2002,OXFAM,unknown
308_01_227,,,779608.00000,8225331.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1999,Government,Local artisans
308_01_228,,,779503.00000,8225552.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_229,,,779522.00000,8226112.00000,Mulanje,Mabuka TA,Bondo,gravity fed standpipe,no pump,functional,2001,Government,Local artisans
308_01_230,,,779484.00000,8226250.00000,Mulanje,Mabuka TA,Nkundi,gravity fed standpipe,no pump,functional,1981,Government,Government
308_01_231,,,779314.00000,8226776.00000,Mulanje,Mabuka TA,Kalamwa,gravity fed standpipe,no pump,functional,1999,Government,Government
308_01_232,,,779261.00000,8226782.00000,Mulanje,Mabuka TA,Kalamwa,gravity fed standpipe,no pump,functional,1999,Government,Government
308_01_233,,,779266.00000,8226810.00000,Mulanje,Mabuka TA,Kalamwa,gravity fed standpipe,no pump,functional,2001,Government,Local artisans
